Etiquetage,Modèle,Numéro de Série,Service,Utilisateur,Date de Garantie,OS,Version,Commune
VALRAS-PO010,Lenovo E16,PF4QD110,Mairie,Sandrine.sant,20/12/2026,W11,22H2,Valras-Plage
TSE-PALAISMER1,HP TPC-W053-TC,CZC13BC3JZ,Mairie,christel.fabre,25/10/2014,TSE,,Valras-Plage
TSE-PALAISMER2,HP TPC-W053-TC,CZC1333D22,Mairie,alice.leveque,17/09/2014,TSE,,Valras-Plage
TSE-POSTESECOURS,HP,x,Mairie,CRS,x,TSE,,Valras-Plage
TSE-CCAS1,HP TPC-W053-TC,8CG2133C72,Mairie,elodie.vialelle,01/05/2025,TSE,,Valras-Plage
TSE-CCAS2,HP TPC-W053-TC,8CG2133C70,Mairie,deborah.criz,01/05/2025,TSE,,Valras-Plage
TSE-CCAS3,HP TPC-W053-TC,8CG2133C74,Mairie,haude.vigneron,01/05/2025,TSE,,Valras-Plage
TSE-CCAS4,HP TPC-W053-TC,8CG2133C73,Mairie,camille.schwartz,01/05/2025,TSE,,Valras-Plage
TSE-ENFANCE1,HP TPC-W053-TC,8CG0500ZQ1,Mairie,florence.lacas,01/05/2025,TSE,,Valras-Plage
TSE-ENFANCE2,HP t5570e,CZC136C3JY,Mairie,reserve,12/10/2014,TSE,,Valras-Plage
TSE-ENFANCE3,HP TPC-W053-TC,8CG2133C79,Mairie,bruno.dalmoro,01/05/2025,TSE,,Valras-Plage
TSE-ENFANCE4,HP,X,Mairie,corinne.martins,,TSE,,Valras-Plage
TSE-ENFANCE5,HP,X,Mairie,sylvain.dalere,,TSE,,Valras-Plage
TSE-ENFANCE6,HP t5570e,CZC13809ZP,Mairie,yann.jiroussans,19/10/2014,TSE,,Valras-Plage
TSE-ENFANCE7,HP TPC-W053-TC,8CG151CBTP,Mairie,grandjean,03/02/2025,TSE,,Valras-Plage
PCCARRIERE,X,PCBRIERA,Mairie,yoan.carriere,x,W8,,Valras-Plage
TSE-MAIRIE4,HP T430,8CG151CBSL,Mairie,celine.massol,03/02/2025,TSE,,Valras-Plage
TSE-MAIRIE6,HP TPC-W053-TC,CZC138236F,Mairie,raymonde.lebail,19/10/2014,TSE,,Valras-Plage
TSE-MAIRIE7,HP T430,8CG151CBTS,Mairie,severine.martos,03/02/2025,TSE,,Valras-Plage
TSE-MAIRIE8,HP t5570e,CZC13728LJ,Mairie,maire,13/10/2014,TSE,,Valras-Plage
TSE-MAIRIE9,HP T430,8CG151CBVB,Mairie,nina.bouteffah,03/02/2025,TSE,,Valras-Plage
TSE-PM1,HP TPC-W053-TC,8CG3073D7K,Mairie,patricia.pierre,09/03/2026,TSE,,Valras-Plage
TSE-PM2,HP t5570e,CZC13728LM,Mairie,reserve,13/10/2014,TSE,,Valras-Plage
TSE-PM3,HP T540,x,Mairie,reserve,,TSE,,Valras-Plage
TSE-PM3,HP T540,x,Mairie,reserve,,TSE,,Valras-Plage
VALROS-PO0008,LENOVO 21E7S48000,PF4C7AG5,Mairie,mathildealonso,01/06/2028,W11,22H2,Valros
VALROS-PO0007,DELL Latitude 5520,GZ7GQ93,Mairie,christopheolive,29/04/2026,W11,21H2,Valros
VALROS-PC0011,DELL OptiPlex 7460 AIO,7S3XBS2,Mairie,christopheolive,29/10/2022,W10,1803,Valros
VALROS-PC0015,DELL OptiPlex 5480 AIO,C7W11D3,Mairie,beatricepena,09/04/2026,W10,22H2,Valros
VALROS-PC0001,Lenovo 10CX001,S10032TH,Mairie,beatricepena,X,W7,SP1,Valros
VALROS-PC0012,DELL OptiPlex 7470 AIO,1Y72703,Mairie,melanievidal,13/10/2024,W10,20H2,Valros
VALROS-PC0013,DELL OptiPlex 7470 AIO,DJC1133,Mairie,x,19/02/2025,W10,20H2,Valros
VALROS-PC0002,DELL OptiPlex 7450 AIO,7S22YK2,Mairie,michelloup,27/07/2021,W10,20H2,Valros
VALROS-PC0010,DELL OptiPlex 7450 AIO,6LHJWL2,Mairie,mathildealonso,18/09/2021,W10,20H2,Valros
VALROS-PO0005,DELL Latitude 5580,6NYFBH2,Mairie,x,25/07/2021,W10,22H2,Valros
VALROS-PC0014,Lenovo 10B8003TFR,S10024R8,Mairie,centreloisirs,X,W7,SP1,Valros
VALROS-PC0016,DELL OptiPlex 5490 AIO,3943FM3,Mairie,x,11/01/2027,W10,21H1,Valros
VALROS-PO0006,DELL Latitude 3510,3CLSG63,Mairie,x,29/01/2026,W10,21H2,Valros
ECOLE1,DELL Latitude 5580,JSM1GH2,Ecole,Classe2,30/08/2021,W10,20H2,Valros
ECOLE2,Lenovo 2522,R8M59P2,Ecole,Classe5,30/12/2013,W10,20H2,Valros
